nombre,email,match_query,match_result,score,match_result_values,destTable,sourceTable
Patrick,patrick.aguilar73@example.com,Patrickpatrick.aguilar73@example.com,Patrickuser133@example.com,70.96774193548387,"{'first_name': 'Patrick', 'email': 'user133@example.com'}",usuarios,clientes
Lisa,lisa.wright78@example.com,Lisalisa.wright78@example.com,Lisauser75@example.com,74.50980392156863,"{'first_name': 'Lisa', 'email': 'user75@example.com'}",usuarios,clientes
Christopher,christopher.lane79@example.com,Christopherchristopher.lane79@example.com,Christopheruser177@example.com,76.05633802816901,"{'first_name': 'Christopher', 'email': 'user177@example.com'}",usuarios,clientes
Virginia,virginia.ruiz81@example.com,Virginiavirginia.ruiz81@example.com,Virginiauser130@example.com,70.96774193548387,"{'first_name': 'Virginia', 'email': 'user130@example.com'}",usuarios,clientes
Sandy,sandy.turner82@example.com,Sandysandy.turner82@example.com,Susanuser28@example.com,74.07407407407408,"{'first_name': 'Susan', 'email': 'user28@example.com'}",usuarios,clientes
Thomas,thomas.smith84@example.com,Thomasthomas.smith84@example.com,Thomasuser64@example.com,71.42857142857143,"{'first_name': 'Thomas', 'email': 'user64@example.com'}",usuarios,clientes
Scott,scott.salazar85@example.com,Scottscott.salazar85@example.com,Scottuser57@example.com,72.72727272727273,"{'first_name': 'Scott', 'email': 'user57@example.com'}",usuarios,clientes
Jessica,jessica.elliott86@example.com,Jessicajessica.elliott86@example.com,Jessicauser126@example.com,70.96774193548387,"{'first_name': 'Jessica', 'email': 'user126@example.com'}",usuarios,clientes
Michael,michael.wagner87@example.com,Michaelmichael.wagner87@example.com,Michaeluser47@example.com,73.33333333333334,"{'first_name': 'Michael', 'email': 'user47@example.com'}",usuarios,clientes
Alan,alan.davidson91@example.com,Alanalan.davidson91@example.com,Daviduser1@example.com,71.69811320754718,"{'first_name': 'David', 'email': 'user1@example.com'}",usuarios,clientes
Susan,susan.marshall92@example.com,Susansusan.marshall92@example.com,Susanuser28@example.com,75.0,"{'first_name': 'Susan', 'email': 'user28@example.com'}",usuarios,clientes
Cody,cody.willis97@example.com,Codycody.willis97@example.com,Willieuser109@example.com,70.37037037037037,"{'first_name': 'Willie', 'email': 'user109@example.com'}",usuarios,clientes
Richard,richard.shaffer98@example.com,Richardrichard.shaffer98@example.com,Richarduser172@example.com,70.96774193548387,"{'first_name': 'Richard', 'email': 'user172@example.com'}",usuarios,clientes
Joshua,joshua.brooks99@example.com,Joshuajoshua.brooks99@example.com,Joshuauser198@example.com,72.41379310344827,"{'first_name': 'Joshua', 'email': 'user198@example.com'}",usuarios,clientes
Stephanie,stephanie.carroll103@example.com,Stephaniestephanie.carroll103@example.com,Stephanieuser50@example.com,73.52941176470588,"{'first_name': 'Stephanie', 'email': 'user50@example.com'}",usuarios,clientes
David,david.hoover106@example.com,Daviddavid.hoover106@example.com,Daviduser1@example.com,74.07407407407408,"{'first_name': 'David', 'email': 'user1@example.com'}",usuarios,clientes
Stephanie,stephanie.wiley107@example.com,Stephaniestephanie.wiley107@example.com,Stephanieuser50@example.com,72.72727272727273,"{'first_name': 'Stephanie', 'email': 'user50@example.com'}",usuarios,clientes
Joseph,joseph.moreno108@example.com,Josephjoseph.moreno108@example.com,Josephuser10@example.com,79.3103448275862,"{'first_name': 'Joseph', 'email': 'user10@example.com'}",usuarios,clientes
Joseph,joseph.torres109@example.com,Josephjoseph.torres109@example.com,Josephuser10@example.com,79.3103448275862,"{'first_name': 'Joseph', 'email': 'user10@example.com'}",usuarios,clientes
Adriana,adriana.austin110@example.com,Adrianaadriana.austin110@example.com,Adrianuser151@example.com,72.1311475409836,"{'first_name': 'Adrian', 'email': 'user151@example.com'}",usuarios,clientes
Terri,terri.white112@example.com,Territerri.white112@example.com,Terryuser142@example.com,72.72727272727273,"{'first_name': 'Terry', 'email': 'user142@example.com'}",usuarios,clientes
Dustin,dustin.bell113@example.com,Dustindustin.bell113@example.com,Daviduser123@example.com,71.42857142857143,"{'first_name': 'David', 'email': 'user123@example.com'}",usuarios,clientes
Robin,robin.barber115@example.com,Robinrobin.barber115@example.com,Ronnieuser158@example.com,70.17543859649122,"{'first_name': 'Ronnie', 'email': 'user158@example.com'}",usuarios,clientes
Dylan,dylan.kelly116@example.com,Dylandylan.kelly116@example.com,Brandonuser116@example.com,70.17543859649122,"{'first_name': 'Brandon', 'email': 'user116@example.com'}",usuarios,clientes
Jessica,jessica.hayes118@example.com,Jessicajessica.hayes118@example.com,Jessicauser126@example.com,72.1311475409836,"{'first_name': 'Jessica', 'email': 'user126@example.com'}",usuarios,clientes
Ryan,ryan.schwartz119@example.com,Ryanryan.schwartz119@example.com,Adrianuser151@example.com,70.17543859649122,"{'first_name': 'Adrian', 'email': 'user151@example.com'}",usuarios,clientes
Richard,richard.lewis122@example.com,Richardrichard.lewis122@example.com,Richarduser172@example.com,72.1311475409836,"{'first_name': 'Richard', 'email': 'user172@example.com'}",usuarios,clientes
Daniel,daniel.smith125@example.com,Danieldaniel.smith125@example.com,Danieluser17@example.com,70.17543859649122,"{'first_name': 'Daniel', 'email': 'user17@example.com'}",usuarios,clientes
Connie,connie.chan128@example.com,Connieconnie.chan128@example.com,Ronnieuser158@example.com,70.17543859649122,"{'first_name': 'Ronnie', 'email': 'user158@example.com'}",usuarios,clientes
Richard,richard.casey130@example.com,Richardrichard.casey130@example.com,Richarduser172@example.com,72.1311475409836,"{'first_name': 'Richard', 'email': 'user172@example.com'}",usuarios,clientes
Michael,michael.parks133@example.com,Michaelmichael.parks133@example.com,Michaeluser91@example.com,73.33333333333334,"{'first_name': 'Michael', 'email': 'user91@example.com'}",usuarios,clientes
Ashley,ashley.neal136@example.com,Ashleyashley.neal136@example.com,Shelleyuser66@example.com,70.17543859649122,"{'first_name': 'Shelley', 'email': 'user66@example.com'}",usuarios,clientes
Andre,andre.davis138@example.com,Andreandre.davis138@example.com,Adrianuser163@example.com,71.42857142857143,"{'first_name': 'Adrian', 'email': 'user163@example.com'}",usuarios,clientes
Mary,mary.glover144@example.com,Marymary.glover144@example.com,Maryuser144@example.com,79.24528301886792,"{'first_name': 'Mary', 'email': 'user144@example.com'}",usuarios,clientes
Sarah,sarah.skinner145@example.com,Sarahsarah.skinner145@example.com,Marcususer145@example.com,72.41379310344827,"{'first_name': 'Marcus', 'email': 'user145@example.com'}",usuarios,clientes
Allison,user31@example.com,Allisonuser31@example.com,Allisonuser31@example.com,100.0,"{'first_name': 'Allison', 'email': 'user31@example.com'}",usuarios,clientes
Jamie,user32@example.com,Jamieuser32@example.com,Jamieuser32@example.com,100.0,"{'first_name': 'Jamie', 'email': 'user32@example.com'}",usuarios,clientes
Kimberly,user33@example.com,Kimberlyuser33@example.com,Kimberlyuser33@example.com,100.0,"{'first_name': 'Kimberly', 'email': 'user33@example.com'}",usuarios,clientes
Elizabeth,user34@example.com,Elizabethuser34@example.com,Elizabethuser34@example.com,100.0,"{'first_name': 'Elizabeth', 'email': 'user34@example.com'}",usuarios,clientes
Shelly,user35@example.com,Shellyuser35@example.com,Shellyuser35@example.com,100.0,"{'first_name': 'Shelly', 'email': 'user35@example.com'}",usuarios,clientes
Jacob,user36@example.com,Jacobuser36@example.com,Jacobuser36@example.com,100.0,"{'first_name': 'Jacob', 'email': 'user36@example.com'}",usuarios,clientes
Roberto,user37@example.com,Robertouser37@example.com,Robertouser37@example.com,100.0,"{'first_name': 'Roberto', 'email': 'user37@example.com'}",usuarios,clientes
Karen,user38@example.com,Karenuser38@example.com,Karenuser38@example.com,100.0,"{'first_name': 'Karen', 'email': 'user38@example.com'}",usuarios,clientes
Anthony,user39@example.com,Anthonyuser39@example.com,Anthonyuser39@example.com,100.0,"{'first_name': 'Anthony', 'email': 'user39@example.com'}",usuarios,clientes
Breanna,user40@example.com,Breannauser40@example.com,Breannauser40@example.com,100.0,"{'first_name': 'Breanna', 'email': 'user40@example.com'}",usuarios,clientes
Nicholas,user41@example.com,Nicholasuser41@example.com,Nicholasuser41@example.com,100.0,"{'first_name': 'Nicholas', 'email': 'user41@example.com'}",usuarios,clientes
Christopher,user42@example.com,Christopheruser42@example.com,Christopheruser42@example.com,100.0,"{'first_name': 'Christopher', 'email': 'user42@example.com'}",usuarios,clientes
Nicole,user43@example.com,Nicoleuser43@example.com,Nicoleuser43@example.com,100.0,"{'first_name': 'Nicole', 'email': 'user43@example.com'}",usuarios,clientes
Anna,user44@example.com,Annauser44@example.com,Annauser44@example.com,100.0,"{'first_name': 'Anna', 'email': 'user44@example.com'}",usuarios,clientes
Donna,user45@example.com,Donnauser45@example.com,Donnauser45@example.com,100.0,"{'first_name': 'Donna', 'email': 'user45@example.com'}",usuarios,clientes
Denise,user46@example.com,Deniseuser46@example.com,Deniseuser46@example.com,100.0,"{'first_name': 'Denise', 'email': 'user46@example.com'}",usuarios,clientes
Michael,user47@example.com,Michaeluser47@example.com,Michaeluser47@example.com,100.0,"{'first_name': 'Michael', 'email': 'user47@example.com'}",usuarios,clientes
Daniel,user48@example.com,Danieluser48@example.com,Danieluser48@example.com,100.0,"{'first_name': 'Daniel', 'email': 'user48@example.com'}",usuarios,clientes
Jason,user49@example.com,Jasonuser49@example.com,Jasonuser49@example.com,100.0,"{'first_name': 'Jason', 'email': 'user49@example.com'}",usuarios,clientes
Stephanie,user50@example.com,Stephanieuser50@example.com,Stephanieuser50@example.com,100.0,"{'first_name': 'Stephanie', 'email': 'user50@example.com'}",usuarios,clientes
Kristin,user51@example.com,Kristinuser51@example.com,Kristinuser51@example.com,100.0,"{'first_name': 'Kristin', 'email': 'user51@example.com'}",usuarios,clientes
Bradley,user52@example.com,Bradleyuser52@example.com,Bradleyuser52@example.com,100.0,"{'first_name': 'Bradley', 'email': 'user52@example.com'}",usuarios,clientes
Lance,user53@example.com,Lanceuser53@example.com,Lanceuser53@example.com,100.0,"{'first_name': 'Lance', 'email': 'user53@example.com'}",usuarios,clientes
Paul,user54@example.com,Pauluser54@example.com,Pauluser54@example.com,100.0,"{'first_name': 'Paul', 'email': 'user54@example.com'}",usuarios,clientes
Danielle,danielle.brooks171@example.com,Danielledanielle.brooks171@example.com,Danieluser17@example.com,70.96774193548387,"{'first_name': 'Daniel', 'email': 'user17@example.com'}",usuarios,clientes
Joseph,joseph.mason173@example.com,Josephjoseph.mason173@example.com,Josephuser127@example.com,75.86206896551724,"{'first_name': 'Joseph', 'email': 'user127@example.com'}",usuarios,clientes
Tina,tina.webster175@example.com,Tinatina.webster175@example.com,Natalieuser197@example.com,77.19298245614034,"{'first_name': 'Natalie', 'email': 'user197@example.com'}",usuarios,clientes
Christine,christine.king178@example.com,Christinechristine.king178@example.com,Christopheruser18@example.com,71.64179104477613,"{'first_name': 'Christopher', 'email': 'user18@example.com'}",usuarios,clientes
David,david.martin180@example.com,Daviddavid.martin180@example.com,Daviduser1@example.com,70.37037037037037,"{'first_name': 'David', 'email': 'user1@example.com'}",usuarios,clientes
Philip,philip.torres184@example.com,Philipphilip.torres184@example.com,Philipuser149@example.com,71.1864406779661,"{'first_name': 'Philip', 'email': 'user149@example.com'}",usuarios,clientes
James,james.cain185@example.com,Jamesjames.cain185@example.com,Jaimeuser117@example.com,70.37037037037037,"{'first_name': 'Jaime', 'email': 'user117@example.com'}",usuarios,clientes
Leslie,leslie.crane186@example.com,Leslieleslie.crane186@example.com,Jessicauser126@example.com,71.1864406779661,"{'first_name': 'Jessica', 'email': 'user126@example.com'}",usuarios,clientes
Earl,earl.winters189@example.com,Earlearl.winters189@example.com,Alanuser15@example.com,71.69811320754718,"{'first_name': 'Alan', 'email': 'user15@example.com'}",usuarios,clientes
Sarah,sarah.smith190@example.com,Sarahsarah.smith190@example.com,Hannahuser190@example.com,71.42857142857143,"{'first_name': 'Hannah', 'email': 'user190@example.com'}",usuarios,clientes
Adam,adam.andrews192@example.com,Adamadam.andrews192@example.com,Andrewuser195@example.com,75.0,"{'first_name': 'Andrew', 'email': 'user195@example.com'}",usuarios,clientes
Michelle,michelle.reed193@example.com,Michellemichelle.reed193@example.com,Michelleuser11@example.com,74.19354838709677,"{'first_name': 'Michelle', 'email': 'user11@example.com'}",usuarios,clientes
Leslie,leslie.webb196@example.com,Leslieleslie.webb196@example.com,Willieuser109@example.com,70.17543859649122,"{'first_name': 'Willie', 'email': 'user109@example.com'}",usuarios,clientes
Richard,richard.short199@example.com,Richardrichard.short199@example.com,Richarduser172@example.com,72.1311475409836,"{'first_name': 'Richard', 'email': 'user172@example.com'}",usuarios,clientes
